Chunk Index,Video Buffer Size
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,59
63,60
64,61
65,62
66,63
67,61
68,62
69,63
70,64
71,65
72,66
73,67
74,65
75,66
76,67
77,68
78,69
79,67
80,68
81,69
82,70
83,68
84,69
85,70
86,71
87,72
88,73
89,71
90,72
91,73
92,74
93,75
94,76
95,74
96,75
97,76
98,77
99,78
100,76
101,77
102,78
103,79
104,80
105,78
106,79
107,80
108,81
109,82
110,83
111,81
112,82
113,83
114,84
115,85
116,83
117,84
118,85
119,86
120,87
121,85
122,86
123,87
124,88
125,89
126,90
127,88
128,89
129,90
130,91
131,91
132,92
133,92
134,92
135,93
136,93
137,94
138,95
139,96
140,96
141,96
142,96
143,97
144,97
145,98
146,98
147,99
148,99
149,99
150,100
151,100
152,100
153,101
154,102
155,103
156,103
157,103
158,104
159,104
160,104
161,105
162,105
163,106
164,106
165,106
166,107
167,107
168,107
169,108
170,109
171,110
172,110
173,110
174,111
175,111
176,112
177,112
178,112
179,113
180,113
181,113
182,114
183,114
184,115
185,115
186,116
187,117
188,117
189,118
190,118
191,118
192,119
193,119
194,120
195,120
196,120
197,121
198,121
199,121
200,122
201,122
202,123
203,124
204,124
205,125
206,125
207,125
208,126
209,126
210,127
211,127
212,127
213,128
214,128
215,129
216,129
217,129
218,130
219,131
220,131
221,132
222,132
223,133
224,133
225,133
226,134
227,134
228,134
229,135
230,135
231,136
232,136
233,136
234,137
235,138
236,139
237,139
238,139
239,140
240,140
241,140
242,141
243,141
244,142
245,142
246,143
247,143
248,143
249,144
250,144
251,145
252,146
253,146
254,147
255,147
256,147
257,148
258,148
259,148
260,149
261,149
262,150
263,150
264,150
265,151
266,151
267,152
268,153
269,153
270,154
271,154
272,154
273,155
274,155
275,155
276,156
277,156
278,157
279,157
280,157
281,158
282,159
283,160
284,160
285,160
286,161
287,161
288,161
289,162
290,163
291,164
292,164
293,164
294,165
295,165
296,166
297,166
298,167
299,168
300,168
301,168
302,169
303,169
304,170
305,170
306,170
307,171
308,171
309,172
310,172
311,172
312,173
313,173
314,174
315,174
316,175
317,176
318,176
319,177
320,177
321,177
322,178
323,178
324,178
325,179
326,179
327,179
328,180
329,180
330,181
331,181
332,182
333,183
334,183
335,184
336,184
337,184
338,185
339,185
340,185
341,186
342,186
343,187
344,187
345,188
346,188
347,188
348,189
349,190
350,190
351,191
352,191
353,191
354,192
355,192
356,193
357,193
358,194
359,194
360,194
361,195
362,195
363,195
364,196
365,197
366,198
367,198
368,198
369,199
370,199
371,199
372,200
373,200
374,201
375,201
376,201
377,202
378,202
379,202
380,203
381,204
382,205
383,205
384,205
385,206
386,206
387,207
388,207
389,207
390,208
391,208
392,208
393,209
394,209
395,210
396,210
397,211
398,212
399,212
400,212
401,213
402,213
403,214
404,214
405,215
406,215
407,215
408,215
409,216
410,216
411,217
412,217
413,218
414,219
415,219
416,220
417,220
418,220
419,221
420,221
421,222
422,222
423,222
424,223
425,223
426,223
427,224
428,224
429,225
430,226
431,226
432,227
433,227
434,228
435,228
436,228
437,229
438,229
439,229
440,230
441,230
442,231
443,231
444,231
445,232
446,233
447,234
448,234
449,234
450,235
451,235
452,235
453,236
454,236
455,237
456,237
457,237
458,238
459,238
460,239
461,239
462,240
463,241
464,241
465,241
466,242
467,242
468,243
469,243
470,243
471,244
472,244
473,245
474,245
475,245
476,246
477,246
478,247
479,248
480,248
481,249
482,249
483,249
484,250
485,250
486,251
487,251
488,251
489,252
490,252
491,252
492,253
493,253
494,254
495,255
496,255
497,256
498,256
499,256
500,257
501,257
502,258
503,258
504,258
505,259
506,259
507,260
508,260
509,260
510,261
511,262
512,263
513,263
514,263
515,264
516,264
517,265
518,265
519,265
520,266
521,266
522,266
523,267
524,267
525,267
526,268
527,269
528,270
529,270
530,270
531,271
532,271
533,272
534,272
535,272
536,273
537,273
538,273
539,274
540,274
541,275
542,276
543,276
544,277
545,277
546,278
547,278
548,278
549,279
550,279
551,279
552,280
553,280
554,281
555,281
556,281
557,282
558,283
559,283
560,284
561,284
562,285
563,285
564,285
565,286
566,286
567,286
568,287
569,287
570,288
571,288
572,289
573,289
574,290
575,291
576,291
577,292
578,292
579,292
580,293
581,293
582,293
583,294
584,294
585,295
586,295
587,295
588,296
589,296
590,296
591,297
592,298
593,298
594,299
595,299
596,300
597,300
598,300
599,301
600,301
601,302
602,302
603,302
604,303
605,303
606,304
607,304
608,305
609,306
610,306
611,307
612,307
613,307
614,308
615,308
616,308
617,309
618,309
619,310
620,310
621,310
622,311
623,311
624,312
625,313
626,313
627,314
628,314
629,314
630,315
631,315
632,316
633,316
634,316
635,317
636,317
637,317
638,318
639,318
640,319
641,320
642,320
643,321
644,321
645,321
646,322
647,322
648,323
649,323
650,323
651,324
652,324
653,325
654,325
655,325
656,326
657,327
658,327
659,328
660,328
661,329
662,329
663,330
664,330
665,330
666,331
667,331
668,331
669,332
670,332
671,333
672,333
673,334
674,335
675,335
676,335
677,336
678,336
679,337
680,337
681,337
682,338
683,338
684,338
685,339
686,339
687,340
688,340
689,341
690,342
691,342
692,343
693,343
694,343
695,344
696,344
697,345
698,345
699,345
700,346
701,346
702,346
703,347
704,347
705,348
706,349
707,349
708,350
709,350
710,350
711,351
712,351
713,352
714,352
715,352
716,353
717,353
718,353
719,354
720,354
721,355
722,356
723,357
724,357
725,357
726,358
727,358
728,358
729,359
730,359
731,360
732,360
733,360
734,361
735,361
736,361
737,362
738,363
739,364
740,364
741,364
742,365
743,365
744,366
745,366
746,366
747,367
748,367
749,367
750,368
751,368
752,369
753,369
754,370
755,371
756,371
757,371
758,372
759,372
760,373
761,373
762,373
763,374
764,374
765,375
766,375
767,375
768,376
769,376
770,377
771,378
772,378
773,379
774,379
775,379
776,380
777,380
778,381
779,381
780,381
781,382
782,382
783,383
784,383
785,383
786,384
787,385
788,385
789,386
790,386
791,387
792,387
793,387
794,388
795,388
796,388
797,389
798,389
799,390
800,390
801,391
802,392
803,392
804,392
805,393
806,393
807,394
808,394
809,394
810,395
811,395
812,396
813,396
814,397
815,397
816,397
817,397
818,398
819,399
820,400
821,400
822,401
823,401
824,401
825,401
826,402
827,402
828,403
829,403
830,404
831,404
832,404
833,405
834,406
835,406
836,407
837,407
838,408
839,408
840,408
841,409
842,409
843,410
844,410
845,410
846,411
847,411
848,411
849,412
850,412
851,413
852,414
853,414
854,415
855,415
856,415
857,416
858,416
859,417
860,417
861,417
862,418
863,418
864,418
865,419
866,419
867,420
868,421
869,421
870,422
871,422
872,423
873,423
874,423
875,424
876,424
877,424
878,425
879,425
880,426
881,426
882,427
883,427
884,428
885,429
886,429
887,429
888,430
889,430
890,431
891,431
892,431
893,432
894,432
895,432
896,433
897,433
898,434
899,434
900,435
901,436
902,436
903,437
904,437
905,437
906,438
907,438
908,438
909,439
910,439
911,440
912,440
913,440
914,441
915,441
916,442
917,443
918,443
919,444
920,444
921,444
922,445
923,445
924,445
925,446
926,446
927,447
928,447
929,448
930,448
931,448
932,449
933,450
934,450
935,451
936,451
937,452
938,452
939,452
940,453
941,453
942,453
943,454
944,454
945,455
946,455
947,455
948,456
949,457
950,458
951,458
952,458
953,459
954,459
955,460
956,460
957,460
958,461
959,461
960,461
961,462
962,462
963,463
964,463
965,464
966,465
967,465
968,465
969,466
970,466
971,467
972,467
973,467
974,468
975,468
976,468
977,469
978,469
979,470
980,470
981,471
982,472
983,472
984,473
985,473
986,473
987,474
988,474
989,475
990,475
991,475
992,476
993,476
994,476
995,477
996,477
997,478
998,479
999,479
1000,480
1001,480
1002,480
1003,481
1004,481
1005,482
1006,482
1007,482
1008,483
1009,483
1010,484
1011,484
1012,484
1013,485
1014,486
1015,486
1016,487
1017,487
1018,488
1019,488
1020,488
1021,489
1022,489
1023,490
1024,490
1025,490
1026,491
1027,491
1028,491
1029,492
1030,493
1031,494
1032,494
1033,494
1034,495
1035,495
1036,496
1037,496
1038,496
1039,497
1040,497
1041,498
1042,498
1043,498
1044,499
1045,499
1046,500
1047,501
1048,501
1049,502
1050,502
1051,502
1052,503
1053,503
1054,504
1055,504
1056,504
1057,505
1058,505
