Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,2
31,3
32,4
33,5
34,6
35,7
36,8
37,9
38,10
39,11
40,12
41,13
42,14
43,15
44,16
45,17
46,18
47,19
48,20
49,21
50,22
51,23
52,24
53,25
54,26
55,27
56,28
57,29
58,30
59,31
60,32
61,33
62,34
63,35
64,36
65,37
66,38
67,39
68,40
69,41
70,42
71,43
72,44
73,45
74,46
75,47
76,48
77,49
78,50
79,51
80,52
81,53
82,54
83,55
84,56
85,57
86,58
87,59
88,60
89,61
90,62
91,63
92,64
93,65
94,66
95,67
96,68
97,69
98,70
99,71
100,72
101,73
102,74
103,75
104,76
105,77
106,78
107,79
108,80
109,81
110,82
111,83
112,83
113,83
114,84
115,84
116,84
117,85
118,85
119,86
120,87
121,87
122,88
123,88
124,88
125,89
126,89
127,90
128,90
129,90
130,91
131,91
132,91
133,92
134,92
135,93
136,94
137,94
138,95
139,95
140,96
141,96
142,96
143,97
144,97
145,98
146,98
147,98
148,99
149,99
150,100
151,100
152,101
153,102
154,102
155,102
156,103
157,103
158,103
159,104
160,104
161,105
162,105
163,105
164,106
165,106
166,107
167,107
168,107
169,108
170,109
171,110
172,110
173,110
174,111
175,111
176,111
177,112
178,112
179,113
180,113
181,113
182,114
183,114
184,114
185,115
186,116
187,117
188,117
189,117
190,118
191,118
192,119
193,119
194,119
195,120
196,120
197,120
198,121
199,121
200,122
201,123
202,123
203,124
204,124
205,125
206,125
207,125
208,126
209,126
210,126
211,127
212,127
213,128
214,128
215,128
216,129
217,130
218,131
219,131
220,131
221,132
222,132
223,132
224,133
225,133
226,134
227,134
228,135
229,135
230,136
231,136
232,136
233,137
234,138
235,138
236,139
237,139
238,140
239,140
240,140
241,141
242,141
243,142
244,142
245,142
246,143
247,143
248,143
249,144
250,144
251,145
252,146
253,146
254,147
255,147
256,147
257,148
258,148
259,149
260,149
261,149
262,150
263,150
264,151
265,151
266,151
267,152
268,153
269,153
270,154
271,154
272,155
273,155
274,155
275,156
276,156
277,156
278,157
279,157
280,158
281,158
282,159
283,159
284,160
285,161
286,161
287,161
288,162
289,162
290,163
291,163
292,163
293,163
294,164
295,164
296,165
297,165
298,166
299,166
300,167
301,168
302,168
303,168
304,169
305,169
306,170
307,170
308,170
309,171
310,171
311,172
312,172
313,172
314,173
315,173
316,174
317,175
318,175
319,176
320,176
321,176
322,177
323,177
324,178
325,178
326,178
327,179
328,179
329,179
330,180
331,180
332,181
333,182
334,182
335,183
336,183
337,184
338,184
339,184
340,185
341,185
342,186
343,186
344,186
345,187
346,187
347,187
348,188
349,189
350,190
351,190
352,190
353,191
354,191
355,191
356,192
357,192
358,193
359,193
360,193
361,194
362,194
363,195
364,195
365,196
366,197
367,197
368,197
369,198
370,198
371,199
372,199
373,199
374,200
375,200
376,200
377,201
378,201
379,202
380,202
381,203
382,204
383,204
384,205
385,205
386,205
387,206
388,206
389,206
390,207
391,207
392,208
393,208
394,208
395,209
396,209
397,210
398,211
399,211
400,212
401,212
402,212
403,213
404,213
405,214
406,214
407,214
408,215
409,215
410,216
411,216
412,216
413,217
414,218
415,219
416,219
417,219
418,220
419,220
420,220
421,221
422,221
423,221
424,222
425,222
426,223
427,223
428,223
429,224
430,225
431,226
432,226
433,226
434,227
435,227
436,227
437,228
438,228
439,229
440,229
441,230
442,230
443,230
444,230
445,231
446,232
447,233
448,233
449,234
450,234
451,234
452,235
453,235
454,235
455,236
456,236
457,237
458,237
459,237
460,238
461,239
462,240
463,240
464,240
465,241
466,241
467,241
468,242
469,242
470,243
471,243
472,243
473,244
474,244
475,245
476,245
477,246
478,247
479,247
480,247
481,248
482,248
483,249
484,249
485,249
486,250
487,250
488,250
489,251
490,251
491,252
492,252
493,253
494,254
495,254
496,255
497,255
498,255
499,256
500,256
501,256
502,257
503,257
504,258
505,258
506,258
507,259
508,259
509,260
510,260
511,261
512,262
513,262
514,262
515,263
516,263
517,264
518,264
519,264
520,265
521,265
522,266
523,266
524,266
525,267
526,267
527,268
528,269
529,269
