Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,2
24,3
25,4
26,5
27,6
28,7
29,8
30,9
31,10
32,11
33,12
34,13
35,14
36,15
37,16
38,17
39,18
40,19
41,20
42,21
43,22
44,23
45,24
46,25
47,26
48,27
49,28
50,29
51,30
52,31
53,32
54,33
55,34
56,35
57,36
58,37
59,38
60,39
61,40
62,41
63,42
64,43
65,44
66,45
67,46
68,47
69,48
70,49
71,50
72,51
73,52
74,53
75,54
76,55
77,56
78,57
79,58
80,59
81,60
82,61
83,62
84,63
85,64
86,65
87,66
88,67
89,68
90,69
91,70
92,71
93,72
94,73
95,74
96,75
97,76
98,77
99,75
100,76
101,77
102,78
103,79
104,80
105,81
106,79
107,80
108,81
109,82
110,83
111,81
112,82
113,83
114,84
115,85
116,83
117,84
118,85
119,86
120,87
121,85
122,86
123,87
124,88
125,89
126,90
127,88
128,89
129,90
130,91
131,92
132,90
133,91
134,92
135,93
136,94
137,92
138,93
139,94
140,95
141,96
142,97
143,95
144,96
145,97
146,98
147,99
148,97
149,98
150,99
151,100
152,101
153,99
154,100
155,101
156,102
157,103
158,104
159,105
160,103
161,104
162,105
163,106
164,104
165,105
166,106
167,107
168,108
169,106
170,107
171,108
172,109
173,110
174,111
175,112
176,110
177,111
178,112
179,113
180,114
181,112
182,113
183,114
184,115
185,116
186,117
187,115
188,116
189,117
190,118
191,119
192,117
193,118
194,119
195,120
196,121
197,119
198,120
199,121
200,122
201,123
202,124
203,125
204,123
205,124
206,125
207,126
208,127
209,125
210,126
211,127
212,128
213,128
214,129
215,129
216,130
217,130
218,131
219,132
220,132
221,133
222,133
223,133
224,134
225,134
226,135
227,135
228,135
229,136
230,136
231,136
232,137
233,137
234,138
235,138
236,139
237,140
238,140
239,140
240,141
241,141
242,142
243,142
244,143
245,143
246,143
247,144
248,144
249,144
250,145
251,145
252,146
253,147
254,147
255,148
256,148
257,148
258,149
259,149
260,150
261,150
262,150
263,151
264,151
265,152
266,152
267,152
268,153
269,154
270,154
271,155
272,155
273,156
274,156
275,156
276,157
277,157
278,157
279,158
280,158
281,159
282,159
283,159
284,160
285,161
286,161
287,162
288,162
289,163
290,163
291,163
292,164
293,164
294,165
295,165
296,165
297,166
298,166
299,167
300,167
301,168
302,169
303,169
304,169
305,170
306,170
307,171
308,171
309,171
310,172
311,172
312,173
313,173
314,173
315,174
316,174
317,175
318,176
319,176
320,177
321,177
322,177
323,178
324,178
325,178
326,179
327,179
328,180
329,180
330,180
331,181
332,181
333,182
334,183
335,183
336,184
337,184
338,184
339,185
340,185
341,186
342,186
343,187
344,187
345,187
346,187
347,188
348,188
349,189
350,190
351,191
352,191
353,191
354,192
355,192
356,193
357,193
358,193
359,194
360,194
361,194
362,195
363,195
364,196
365,196
366,197
367,198
368,198
369,198
370,199
371,199
372,200
373,200
374,200
375,201
376,201
377,201
378,202
379,202
380,203
381,203
382,204
383,205
384,205
385,206
386,206
387,207
388,207
389,207
390,207
391,208
392,208
393,209
394,209
395,209
396,210
397,210
398,211
399,212
400,212
401,213
402,213
403,213
404,214
405,214
406,215
407,215
408,215
409,216
410,216
411,217
412,217
413,218
414,219
415,219
416,220
417,220
418,220
419,221
420,221
421,221
422,222
423,222
424,223
425,223
426,223
427,224
428,224
429,224
430,225
431,226
432,226
433,227
434,227
435,228
436,228
437,228
438,229
439,229
440,230
441,230
442,230
443,231
444,231
445,232
446,233
447,233
448,234
449,234
450,235
451,235
452,235
453,236
454,236
455,236
456,237
457,237
458,238
459,238
460,238
461,239
462,240
463,241
464,241
465,241
466,242
467,242
468,242
469,243
470,243
471,244
472,244
473,244
474,245
475,245
476,246
477,246
478,247
479,248
480,248
481,248
482,249
483,249
484,250
485,250
486,250
487,251
488,251
489,251
490,252
491,252
492,253
493,253
494,254
495,254
496,255
497,256
498,256
499,256
500,257
501,257
502,258
503,258
504,258
505,259
506,259
507,260
508,260
509,260
510,261
511,261
512,262
513,263
514,263
515,263
516,264
517,264
518,265
519,265
520,265
521,266
522,266
523,267
524,267
525,267
526,268
527,268
528,269
529,270
